company_id,name,open_positions
183403,Amazon,"[{'position': 'Data Engineer', 'required_skills': {'PySpark': 4, 'OrientDB': 3, 'Spark': 4}}, {'position': 'Database Admin', 'required_skills': {'PySpark': 3, 'Pandas': 5, 'Machine Learning': 3}}, {'position': 'Data Engineer', 'required_skills': {'Python': 3, 'Pandas': 4, 'Spark': 3, 'Java': 4}}, {'position': 'Data Scientist', 'required_skills': {'Pandas': 4, 'Scala': 4, 'Java': 4}}, {'position': 'ETL Developer', 'required_skills': {'Scala': 3, 'PySpark': 5, 'OrientDB': 5}}]"
809460,Amazon,"[{'position': 'ETL Developer', 'required_skills': {'OrientDB': 3, 'Data Engineering': 3, 'Scala': 5, 'Python': 5}}, {'position': 'Data Scientist', 'required_skills': {'Python': 4, 'Data Engineering': 5, 'Spark': 3}}, {'position': 'ETL Developer', 'required_skills': {'Data Engineering': 5, 'Scala': 3, 'Pandas': 3, 'SQL': 5, 'Spark': 4}}, {'position': 'Data Engineer', 'required_skills': {'Scala': 3, 'OrientDB': 5, 'Machine Learning': 3, 'Pandas': 5, 'Data Engineering': 3}}, {'position': 'Data Engineer', 'required_skills': {'Data Engineering': 3, 'Pandas': 3, 'Machine Learning': 4, 'SQL': 3, 'PySpark': 5}}]"
836007,Amazon,"[{'position': 'Graph Analyst', 'required_skills': {'OrientDB': 3, 'PySpark': 4, 'Spark': 4}}, {'position': 'ML Engineer', 'required_skills': {'PySpark': 4, 'Scala': 5, 'Java': 5, 'Machine Learning': 3}}, {'position': 'Data Engineer', 'required_skills': {'Machine Learning': 3, 'OrientDB': 5, 'Data Engineering': 4, 'Scala': 5}}]"
158243,AWS,"[{'position': 'Data Engineer', 'required_skills': {'Java': 3, 'Python': 3, 'Data Engineering': 5, 'Machine Learning': 3, 'Pandas': 4}}, {'position': 'Graph Analyst', 'required_skills': {'Python': 3, 'Spark': 5, 'Pandas': 4, 'OrientDB': 3}}]"
823193,Meta,"[{'position': 'ML Engineer', 'required_skills': {'Spark': 5, 'PySpark': 3, 'Machine Learning': 4, 'Java': 3}}, {'position': 'Data Scientist', 'required_skills': {'SQL': 5, 'Pandas': 4, 'Data Engineering': 3}}, {'position': 'Graph Analyst', 'required_skills': {'Spark': 4, 'Scala': 5, 'Data Engineering': 4, 'Java': 3}}]"
921958,Google,"[{'position': 'Database Admin', 'required_skills': {'Python': 3, 'Spark': 4, 'Data Engineering': 4, 'OrientDB': 4, 'PySpark': 5}}, {'position': 'ML Engineer', 'required_skills': {'Pandas': 3, 'Scala': 4, 'Machine Learning': 3, 'SQL': 4, 'Data Engineering': 3}}]"
351719,Meta,"[{'position': 'ML Engineer', 'required_skills': {'Python': 4, 'Spark': 5, 'Scala': 3}}, {'position': 'Data Scientist', 'required_skills': {'Data Engineering': 3, 'Spark': 5, 'Scala': 3, 'SQL': 3}}, {'position': 'ML Engineer', 'required_skills': {'Pandas': 4, 'Spark': 4, 'Python': 5, 'SQL': 3, 'OrientDB': 4}}, {'position': 'ML Engineer', 'required_skills': {'OrientDB': 5, 'Python': 3, 'Data Engineering': 4}}, {'position': 'ETL Developer', 'required_skills': {'PySpark': 3, 'Scala': 3, 'Spark': 3}}]"
338417,Amazon,"[{'position': 'Data Scientist', 'required_skills': {'PySpark': 3, 'Python': 4, 'Data Engineering': 5, 'OrientDB': 5, 'Java': 5}}, {'position': 'ML Engineer', 'required_skills': {'Python': 4, 'Scala': 3, 'PySpark': 4}}, {'position': 'ML Engineer', 'required_skills': {'OrientDB': 3, 'SQL': 3, 'Pandas': 3}}]"
398537,Microsoft,"[{'position': 'Graph Analyst', 'required_skills': {'Data Engineering': 3, 'Machine Learning': 5, 'Java': 3, 'Pandas': 5}}]"
697484,Microsoft,"[{'position': 'Graph Analyst', 'required_skills': {'Scala': 3, 'Python': 3, 'Data Engineering': 3}}]"
3748,IBM,"[{'position': 'Data Scientist', 'required_skills': {'Spark': 4, 'Machine Learning': 4, 'Java': 3}}, {'position': 'Database Admin', 'required_skills': {'OrientDB': 4, 'Pandas': 3, 'Scala': 5}}, {'position': 'Database Admin', 'required_skills': {'OrientDB': 3, 'Scala': 4, 'Spark': 5, 'Data Engineering': 3, 'Java': 5}}]"
405021,Amazon,"[{'position': 'Database Admin', 'required_skills': {'Machine Learning': 5, 'Spark': 5, 'OrientDB': 5, 'Data Engineering': 3}}, {'position': 'Data Scientist', 'required_skills': {'Spark': 4, 'SQL': 5, 'Scala': 4}}, {'position': 'ML Engineer', 'required_skills': {'Pandas': 3, 'Python': 4, 'Scala': 4, 'OrientDB': 5}}, {'position': 'Data Engineer', 'required_skills': {'Scala': 5, 'Machine Learning': 4, 'Pandas': 3, 'Python': 3}}, {'position': 'Database Admin', 'required_skills': {'Data Engineering': 5, 'Pandas': 5, 'Spark': 5}}]"
532413,IBM,"[{'position': 'ML Engineer', 'required_skills': {'SQL': 3, 'Java': 5, 'Scala': 3, 'Spark': 3}}, {'position': 'Data Scientist', 'required_skills': {'Data Engineering': 3, 'SQL': 4, 'Java': 3, 'Pandas': 5}}, {'position': 'Graph Analyst', 'required_skills': {'Machine Learning': 5, 'OrientDB': 3, 'Scala': 5}}, {'position': 'Database Admin', 'required_skills': {'Java': 4, 'Python': 5, 'Spark': 3}}]"
987367,Meta,"[{'position': 'Data Engineer', 'required_skills': {'Spark': 3, 'Pandas': 4, 'SQL': 5}}, {'position': 'Database Admin', 'required_skills': {'Scala': 4, 'Pandas': 3, 'Machine Learning': 3, 'Python': 5, 'Data Engineering': 4}}, {'position': 'Graph Analyst', 'required_skills': {'Python': 4, 'Spark': 3, 'PySpark': 5, 'Java': 5, 'Scala': 3}}, {'position': 'ML Engineer', 'required_skills': {'Data Engineering': 3, 'Pandas': 3, 'SQL': 5, 'PySpark': 3}}]"
94455,Microsoft,"[{'position': 'Data Engineer', 'required_skills': {'Data Engineering': 3, 'Java': 3, 'Spark': 5, 'PySpark': 4, 'OrientDB': 4}}, {'position': 'ETL Developer', 'required_skills': {'Machine Learning': 4, 'Data Engineering': 3, 'Spark': 3}}]"
439764,Microsoft,"[{'position': 'Graph Analyst', 'required_skills': {'Spark': 3, 'Machine Learning': 5, 'Scala': 3, 'SQL': 4, 'Java': 4}}, {'position': 'Database Admin', 'required_skills': {'Data Engineering': 5, 'Machine Learning': 4, 'PySpark': 5, 'Scala': 4}}, {'position': 'ML Engineer', 'required_skills': {'OrientDB': 3, 'Java': 5, 'Pandas': 4}}, {'position': 'Graph Analyst', 'required_skills': {'Pandas': 3, 'Data Engineering': 4, 'SQL': 4}}, {'position': 'Data Scientist', 'required_skills': {'SQL': 3, 'Python': 3, 'PySpark': 4, 'Java': 4, 'Machine Learning': 4}}]"
987129,Amazon,"[{'position': 'Database Admin', 'required_skills': {'Java': 5, 'Spark': 4, 'Machine Learning': 3, 'Pandas': 4}}, {'position': 'Data Scientist', 'required_skills': {'Python': 5, 'Data Engineering': 4, 'Scala': 3}}, {'position': 'ML Engineer', 'required_skills': {'PySpark': 5, 'Data Engineering': 5, 'Scala': 3, 'Python': 5}}]"
920853,Amazon,"[{'position': 'ML Engineer', 'required_skills': {'OrientDB': 5, 'PySpark': 3, 'Spark': 5, 'Python': 3}}, {'position': 'Data Scientist', 'required_skills': {'Scala': 5, 'Data Engineering': 3, 'PySpark': 4, 'Machine Learning': 5, 'Spark': 3}}, {'position': 'Data Engineer', 'required_skills': {'Scala': 5, 'Pandas': 4, 'Machine Learning': 5}}, {'position': 'Graph Analyst', 'required_skills': {'Spark': 4, 'Python': 5, 'PySpark': 4}}, {'position': 'Data Scientist', 'required_skills': {'SQL': 5, 'Pandas': 4, 'Java': 5}}]"
550628,IBM,"[{'position': 'Database Admin', 'required_skills': {'OrientDB': 4, 'Spark': 4, 'PySpark': 5}}, {'position': 'ETL Developer', 'required_skills': {'SQL': 4, 'OrientDB': 3, 'Machine Learning': 5, 'Data Engineering': 4}}, {'position': 'Graph Analyst', 'required_skills': {'SQL': 3, 'Pandas': 5, 'Scala': 5, 'PySpark': 4, 'Java': 3}}]"
850620,Amazon,"[{'position': 'ETL Developer', 'required_skills': {'Spark': 5, 'OrientDB': 4, 'Java': 3, 'Pandas': 5, 'Machine Learning': 3}}, {'position': 'ETL Developer', 'required_skills': {'Java': 5, 'Data Engineering': 5, 'PySpark': 5}}, {'position': 'ETL Developer', 'required_skills': {'OrientDB': 3, 'Spark': 4, 'PySpark': 4}}]"
